file_name,text
frame_1,0.4노트로 저속 항해 중. 좌현에 대형 어선(ship_id 0) 1척이 매우 근접해 있음.
frame_2,8노트로 급증속하여 이탈. 주변에 타 선박 없음.
frame_3,"4.5노트로 항해 중. 주변에 5척의 선박(어선 3, 유람선 2)이 갑자기 출현하여 매우 복잡한 상황."
frame_4,거의 정선 상태. 주변 선박이 6척으로 늘어나 사방이 둘러싸인 최고 위험 상황.
frame_5,3.4노트로 증속. 여전히 5척의 선박에 둘러싸여 있어 충돌 위험이 매우 높은 항해를 하고 있음.
frame_6,"2.2노트로 항해 중. 우현에 어선 2척(ship_id 2, 6)이 위치."
frame_7,"거의 정선 상태. 주변에 3척의 선박(어선 2, 보트 1)이 있음."
frame_8,1노트로 저속 항해. 좌현에 어선(ship_id 2) 1척이 매우 근접하여 충돌 위험.
frame_9,"2.1노트로 증속. 우현에 어선과 보트(ship_id 0, 3)가 위치."
frame_10,1.9노트로 항해 중. 우현 선미의 보트(ship_id 3)가 근접해 있음.
